UniProt ID,Gene,Protein Name,Panel
Q99549,MPHOSPH8,M-phase phosphoprotein 8,"Explore HT assay library, Olink Explore Cardiometabolic"
Q9NRD8,DUOX2,Dual oxidase 2,"Explore HT assay library, Olink Explore Cardiometabolic"
Q9NRV9,HEBP1,Heme-binding protein 1,"Explore HT assay library, Olink Explore Cardiometabolic"
Q9Y223,GNE,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,"Explore HT assay library, Olink Explore Oncology"
Q6P4F2,FDX2,"Ferredoxin-2, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UP79,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,"Explore HT assay library, Olink Explore Oncology"
Q86TH1,ADAMTSL2,ADAMTS-like protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
P34949,MPI,Mannose-6-phosphate isomerase,"Explore HT assay library, Olink Explore Oncology"
Q07973,CYP24A1,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
P27918,CFP,Properdin,"Explore HT assay library, Olink Explore Inflammation II"
P01189,POMC,Pro-opiomelanocortin,"Explore HT assay library, Olink Explore Cardiometabolic II"
O15305,PMM2,Phosphomannomutase 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UHI8,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,"Explore HT assay library, Olink Explore Inflammation II"
Q6UY14,ADAMTSL4,ADAMTS-like protein 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q7Z4W1,DCXR,L-xylulose reductase,"Explore HT assay library, Olink Explore Oncology"
P50053,KHK,Ketohexokinase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P22033,MMUT,"Methylmalonyl-CoA mutase, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
P43251,BTD,Biotinidase,"Explore HT assay library, Olink Explore Inflammation II"
O95196,CSPG5,Chondroitin sulfate proteoglycan 5,"Explore HT assay library, Olink Explore Neurology II"
O75173,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,"Explore HT assay library, Olink Explore Inflammation II"
Q6ZMM2,ADAMTSL5,ADAMTS-like protein 5,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9H3R2,MUC13,Mucin-13,"Explore HT assay library, Olink Explore Neurology"
P51688,SGSH,N-sulphoglucosamine sulphohydrolase,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q02817,MUC2,Mucin-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8IWL2,SFTPA1,Pulmonary surfactant-associated protein A1,"Olink Explore Oncology, Olink Target 96 Oncology III"
P10109,FDX1,"Adrenodoxin, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
Q8IWL1,SFTPA2,Pulmonary surfactant-associated protein A2,"Explore HT assay library, Olink Explore Oncology"
P20774,OGN,Mimecan,"Explore HT assay library, Olink Explore Neurology"
Q96EU7,C1GALT1C1,C1GALT1-specific chaperone 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q99707,MTR,Methionine synthase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P37837,TALDO1,Transaldolase,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6UVK1,CSPG4,Chondroitin sulfate proteoglycan 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9NS62,THSD1,Thrombospondin type-1 domain-containing protein 1,"Explore HT assay library, Olink Explore Inflammation II"
P55809,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
P01138,NGF,Beta-nerve growth factor,"Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Neurology"
P35249,RFC4,Replication factor C subunit 4,"Explore HT assay library, Olink Explore Oncology II"
P55211,CASP9,Caspase-9,"Explore HT assay library, Olink Explore Inflammation II"
P40925,MDH1,"Malate dehydrogenase, cytoplasmic","Explore HT assay library, Olink Explore Inflammation II"
P54819,AK2,"Adenylate kinase 2, mitochondrial","Explore HT assay library, Olink Explore Neurology II"
P35914,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
P16233,PNLIP,Pancreatic triacylglycerol lipase,"Explore HT assay library, Olink Explore Inflammation II"
Q8NFL0,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","Explore HT assay library, Olink Explore Cardiometabolic II"
Q86UW2,SLC51B,Organic solute transporter subunit beta,"Explore HT assay library, Olink Explore Cardiometabolic II"
P52848,NDST1,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,"Explore HT assay library, Olink Explore Oncology II"
Q00796,SORD,Sorbitol dehydrogenase,"Explore HT assay library, Olink Explore Oncology"
P32320,CDA,Cytidine deaminase,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q02127,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
P09172,DBH,Dopamine beta-hydroxylase,"Explore HT assay library, Olink Explore Inflammation II"
P10746,UROS,Uroporphyrinogen-III synthase,"Explore HT assay library, Olink Explore Neurology II"
Q16595,FXN,"Frataxin, mitochondrial","Explore HT assay library, Olink Explore Oncology"
Q8IV16,GPIHBP1,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,"Explore HT assay library, Olink Explore Oncology II"
P06733,ENO1,Alpha-enolase,"Explore HT assay library, Olink Explore Neurology"
Q8NFP7,NUDT10,Diphosphoinositol polyphosphate phosphohydrolase 3-alpha,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9H3S4,TPK1,Thiamin pyrophosphokinase 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UBR1,UPB1,Beta-ureidopropionase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P20061,TCN1,Transcobalamin-1,"Explore HT assay library, Olink Explore Inflammation II"
P31350,RRM2,Ribonucleoside-diphosphate reductase subunit M2,"Explore HT assay library, Olink Explore Oncology"
P37058,HSD17B3,17-beta-hydroxysteroid dehydrogenase type 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
P53384,NUBP1,Cytosolic Fe-S cluster assembly factor NUBP1,"Explore HT assay library, Olink Explore Oncology II"
P26440,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial","Explore HT assay library, Olink Explore Neurology"
P21695,GPD1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic","Explore HT assay library, Olink Explore Oncology II"
P17568,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,"Explore HT assay library, Olink Explore Oncology II"
P00966,ASS1,Argininosuccinate synthase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P35520,CBS,Cystathionine beta-synthase,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q99807,COQ7,"5-demethoxyubiquinone hydroxylase, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
O60825,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2","Explore HT assay library, Olink Explore Oncology"
P36551,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial","Explore HT assay library, Olink Explore Inflammation II"
Q9NV35,NUDT15,Nucleotide triphosphate diphosphatase NUDT15,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q5TA50,CPTP,Ceramide-1-phosphate transfer protein,"Explore HT assay library, Olink Explore Cardiometabolic II"
P02766,TTR,Transthyretin,"Explore HT assay library, Olink Explore Inflammation II"
Q9BXS1,IDI2,Isopentenyl-diphosphate delta-isomerase 2,"Explore HT assay library, Olink Explore Neurology"
P23919,DTYMK,Thymidylate kinase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P19526,FUT1,"Galactoside alpha-(1,2)-fucosyltransferase 1","Explore HT assay library, Olink Explore Oncology II"
Q14739,LBR,Delta(14)-sterol reductase LBR,"Explore HT assay library, Olink Explore Neurology"
Q6FI81,CIAPIN1,Anamorsin,"Explore HT assay library, Olink Explore Oncology"
P05413,FABP3,"Fatty acid-binding protein, heart","Explore HT assay library, Olink Explore Cardiometabolic II"
P05091,ALDH2,"Aldehyde dehydrogenase, mitochondrial","Explore HT assay library, Olink Explore Oncology II"
Q9BPX1,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14,"Explore HT assay library, Olink Explore Neurology II"
Q14914,PTGR1,Prostaglandin reductase 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9Y2E5,MAN2B2,Epididymis-specific alpha-mannosidase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P13929,ENO3,Beta-enolase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P13995,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","Explore HT assay library, Olink Explore Neurology II"
Q16774,GUK1,Guanylate kinase,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96G03,PGM2,Phosphopentomutase,"Explore HT assay library, Olink Explore Neurology II"
Q9BV20,MRI1,Methylthioribose-1-phosphate isomerase,"Explore HT assay library, Olink Explore Neurology II"
P61764,STXBP1,Syntaxin-binding protein 1,"Explore HT assay library, Olink Explore Neurology II"
P07602,PSAP,Prosaposin,"Explore HT assay library, Olink Explore Cardiometabolic II"
P48060,GLIPR1,Glioma pathogenesis-related protein 1,"Explore HT assay library, Olink Explore Oncology II"
Q13503,MED21,Mediator of RNA polymerase II transcription subunit 21,"Explore HT assay library, Olink Explore Cardiometabolic II"
O95497,VNN1,Pantetheinase,"Explore HT assay library, Olink Explore Inflammation II"
Q96MM7,HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2,"Explore HT assay library, Olink Explore Inflammation II"
Q01581,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic","Explore HT assay library, Olink Explore Cardiometabolic II"
Q13510,ASAH1,Acid ceramidase,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6P1J6,PLB1,"Phospholipase B1, membrane-associated","Explore HT assay library, Olink Explore Neurology II"
O43598,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,"Explore HT assay library, Olink Explore Inflammation"
Q8NHP1,AKR7L,Aflatoxin B1 aldehyde reductase member 4,"Explore HT assay library, Olink Explore Inflammation II"
Q9NPJ3,ACOT13,Acyl-coenzyme A thioesterase 13,"Explore HT assay library, Olink Explore Oncology II"
P15289,ARSA,Arylsulfatase A,"Olink Explore Neurology, Olink Target 96 Development"
P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
P06727,APOA4,Apolipoprotein A-IV,"Explore HT assay library, Olink Explore Inflammation II"
P61457,PCBD1,Pterin-4-alpha-carbinolamine dehydratase,"Explore HT assay library, Olink Explore Inflammation II"
Q9UHJ6,SHPK,Sedoheptulokinase,"Explore HT assay library, Olink Explore Oncology II"
P01019,AGT,Angiotensinogen,"Explore HT assay library, Olink Explore Inflammation II"
P63211,GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,"Explore HT assay library, Olink Explore Neurology II"
P52788,SMS,Spermine synthase,"Explore HT assay library, Olink Explore Neurology II"
Q14894,CRYM,Ketimine reductase mu-crystallin,"Explore HT assay library, Olink Explore Neurology II"
O60218,AKR1B10,Aldo-keto reductase family 1 member B10,"Explore HT assay library, Olink Explore Neurology II"
P04062,GBA1,Lysosomal acid glucosylceramidase,"Explore HT assay library, Olink Explore Neurology II"
P43166,CA7,Carbonic anhydrase 7,"Explore HT assay library, Olink Explore Oncology II"
Q16836,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
O00401,WASL,Actin nucleation-promoting factor WASL,"Explore HT assay library, Olink Explore Inflammation II"
Q99447,PCYT2,Ethanolamine-phosphate cytidylyltransferase,"Explore HT assay library, Olink Explore Oncology II"
Q9BU02,THTPA,Thiamine-triphosphatase,"Explore HT assay library, Olink Explore Oncology II"
Q9BV79,MECR,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
Q6UWW8,CES3,Carboxylesterase 3,"Explore HT assay library, Olink Explore Oncology"
O95954,FTCD,Formimidoyltransferase-cyclodeaminase,"Explore HT assay library, Olink Explore Neurology II"
Q96CD2,PPCDC,Phosphopantothenoylcysteine decarboxylase,"Explore HT assay library, Olink Explore Neurology"
P32321,DCTD,Deoxycytidylate deaminase,"Explore HT assay library, Olink Explore Inflammation II"
P06276,BCHE,Cholinesterase,"Explore HT assay library, Olink Explore Inflammation II"
Q9H2M3,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,"Explore HT assay library, Olink Explore Cardiometabolic II"
P06744,GPI,Glucose-6-phosphate isomerase,"Explore HT assay library, Olink Explore Inflammation II"
O94830,DDHD2,Phospholipase DDHD2,"Explore HT assay library, Olink Explore Neurology II"
P60484,PTEN,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN","Explore HT assay library, Olink Explore Neurology"
Q6P589,TNFAIP8L2,Tumor necrosis factor alpha-induced protein 8-like protein 2,"Explore HT assay library, Olink Explore Inflammation II"
Q7L266,ASRGL1,Isoaspartyl peptidase/L-asparaginase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P98164,LRP2,Low-density lipoprotein receptor-related protein 2,"Explore HT assay library, Olink Explore Neurology II"
Q8NBK3,SUMF1,Formylglycine-generating enzyme,"Explore HT assay library, Olink Explore Inflammation II"
P04183,TK1,"Thymidine kinase, cytosolic","Explore HT assay library, Olink Explore Oncology II"
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,"Explore HT assay library, Olink Explore Neurology II"
O96007,MOCS2,Molybdopterin synthase catalytic subunit,"Explore HT assay library, Olink Explore Inflammation II"
Q96AT9,RPE,Ribulose-phosphate 3-epimerase,"Explore HT assay library, Olink Explore Oncology II"
Q6UWR7,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q99685,MGLL,Monoglyceride lipase,"Explore HT assay library, Olink Explore Inflammation"
O75380,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial","Explore HT assay library, Olink Explore Oncology"
P14207,FOLR2,Folate receptor beta,"Explore HT assay library, Olink Explore Neurology"
P46926,GNPDA1,Glucosamine-6-phosphate isomerase 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P12277,CKB,Creatine kinase B-type,"Explore HT assay library, Olink Explore Cardiometabolic II"
P27169,PON1,Serum paraoxonase/arylesterase 1,"Explore HT assay library, Olink Explore Inflammation II"
P14868,DARS1,"Aspartate--tRNA ligase, cytoplasmic","Explore HT assay library, Olink Explore Neurology"
Q03013,GSTM4,Glutathione S-transferase Mu 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
P53985,SLC16A1,Monocarboxylate transporter 1,"Explore HT assay library, Olink Explore Neurology"
Q9Y251,HPSE,Heparanase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P02652,APOA2,Apolipoprotein A-II,"Explore HT assay library, Olink Explore Inflammation II"
Q9H7Z7,PTGES2,Prostaglandin E synthase 2,"Explore HT assay library, Olink Explore Inflammation II"
P11310,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial","Explore HT assay library, Olink Explore Oncology II"
P52209,PGD,"6-phosphogluconate dehydrogenase, decarboxylating","Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UBQ7,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P00167,CYB5A,Cytochrome b5,"Explore HT assay library, Olink Explore Oncology II"
Q9NQ66,PLCB1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1","Explore HT assay library, Olink Explore Inflammation II"
P62834,RAP1A,Ras-related protein Rap-1A,"Explore HT assay library, Olink Explore Inflammation II"
P43220,GLP1R,Glucagon-like peptide 1 receptor,"Explore HT assay library, Olink Explore Neurology II"
P12532,"CKMT1A, CKMT1B","Creatine kinase U-type, mitochondrial","Explore HT assay library, Olink Explore Inflammation"
P17643,TYRP1,"5,6-dihydroxyindole-2-carboxylic acid oxidase","Explore HT assay library, Olink Explore Inflammation II"
P34896,SHMT1,"Serine hydroxymethyltransferase, cytosolic","Explore HT assay library, Olink Explore Inflammation"
P00325,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,"Explore HT assay library, Olink Explore Inflammation II"
P21673,SAT1,Diamine acetyltransferase 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P09455,RBP1,Retinol-binding protein 1,"Explore HT assay library, Olink Explore Neurology II"
P48775,TDO2,"Tryptophan 2,3-dioxygenase","Explore HT assay library, Olink Explore Neurology II"
